Age,Age13,Age6,Asian_link,Bible,Big_govt_scale,Black_link,Campaign_info_sources,Caucus_Dem_state,Caucus_Rep_state,Caucus_primary_state_type,Child_authority,Climate_scale,Clinton_Sanders,Clinton_vote,Clinton_vote_100,Community_issue,Community_volunteer,Community_work,Contact_party,Discrim_scale,Econ_pessimism,Education,F_scale,Female,Female_role,Free_trade,GOTV,Gay_laws_scale,HR_vote_party,Hispanic_link,Income,Kids,ME_Isis,ME_refugees,Married,Misogyny,Misogyny4,ObamaCare,Obama_2012,Org_num,Pol_interest_scale,Primary_party,Race2,Race3,Race_all,Relig_attend,Relig_imp,Sexism_trad,Spend_Child,Spend_Crime,Spend_Enviro,Spend_Poor,Spend_Scale,Spend_Schools,Spend_SciTech,Spend_SocSec,Spend_Welfare,Ticket_splitter,Trump_vote_100,Trump_OtherRep,case_id,V160101,V160101f,V160101w,V160102,V160102f,V160102w,V160201,V160201f,V160201w,V160202,V160202f,V160202w,interview_mode,V160502,V161001,V161002,Female_bond,Voted_2012,Voted_2016,Voter_type,Voter_type_primary_caucus,Who_2012,Who_2016,Who_2016_full,abortion,affirm_act3,assist_blacks,better_worse_future_R,better_worse_future_econ,better_worse_past_R,better_worse_past_R_2,better_worse_past_econ,better_worse_past_econ_2,climate_1,climate_2,cong_approve,cong_incumb_approve,defense_spend,educ4,egalit_3,egalitarianism,envir_jobs,fracking,ft_Asians,ft_BClinton,ft_BLM,ft_Blacks,ft_Business,ft_Christians,ft_Congress,ft_Conservatives,ft_Dem,ft_Feminists,ft_Fund,ft_Gays,ft_HClinton_post,ft_HClinton_pre,ft_Hispanics,ft_Illegals,ft_Jews,ft_Kane,ft_Liberals,ft_Muslims,ft_Muslims_5,ft_Obama,ft_Pence,ft_Police,ft_Poor,ft_Rep,ft_Rich,ft_SCOTUS,ft_Scientists,ft_Tea,ft_Trans,ft_Trump_post,ft_Trump_pre,ft_Unions,ft_Whites,ft_Illegals_5,gay_adopt,gay_job_discrim,gay_marriage,gay_wed_serve,grass,gun_control2,gun_imp,gun_own,immig_birthright,immig_chldrn,immig_chldrn_rec,immig_scale,immig_scale_4,immig_wall,income3,income4,income5,income7,income_gap,income_gap_action,intl_force,isolationism,jobs_stndLiving,libcon10,libcon3,libcon7,libcon7_Dem,libcon7_Rep,marital,nativism,nativism2,nativism4,nesw,nesw_rnd,partyid3,partyid7,pol_interest,political_trust,polknow,polknow2,pres_econ,pres_foreign,pres_hlth,pres_job,primary_voter,primary_who,racial_resent_scale,racial_resent_scale_4,region,sex_orient,sex_orient_fmfrnd,social_trust,spend8,spend_serv,torture,trans_bathroom,rid_rotten_apples,need_strong_leader,version,voting_duty,voting_duty2,white_black_4,whites_minus_blacks,wordsum,ft_Police_q3,ft_Police_q4,pid_dum1,pid_dum2,pid_dum3,gay_wed_require
41,6,3,,1,3,3,5,0,0,1,3,3,2,1,100,2,2,2,0,19,,11,8,1,3,3,2,0,1,,15,1,7,7,1,9,3,1,1,0,9,1,2,2,2,1,2,7,2,1,1,1,3,1,1,1,3,0,0,,301235,.4268,.4564,0,.4028,.4486,0,130,30,0,1,1,0,1,1,7,2,4,1,1,1,1,1,1,1,4,3,4,,,3,2,3,2,2,3,4,5,7,2,3,13,1,2,100,70,85,100,30,100,40,40,50,85,100,85,50,50,50,50,100,70,100,85,5,85,40,100,100,30,50,50,100,40,85,50,50,100,60,3,1,1,1,1,1,1,1,0,6,2,2,6,1,1,2,2,3,4,1,,3,2,2,6,1,3,4,7,1,10,2,4,.4028,0,2,4,6,3,1,0,2,1,1,2,1,2,13,4,4,1,1,2,6,7,1,2,5,5,"ANES2016TimeSeries_20170403",7,2,1,-40,4,3,4,0,1,0,1
60,10,5,,0,3,,4,0,0,1,1,4,2,1,100,2,2,2,1,16,4,14,1,1,6,2,2,2,1,,23,0,6,4,1,2,1,2,1,0,12,1,1,1,1,0,0,14,1,2,1,1,3,2,1,1,2,0,0,,402406,.7514,0,.7328,.7687,0,.7647,3,0,3,2,0,2,2,1,,,4,1,1,1,1,1,1,1,4,2,4,3,3,3,2,3,2,3,3,4,2,3,4,2,10,3,3,50,85,40,50,40,15,40,30,40,85,30,70,70,40,50,50,70,60,70,60,4,70,70,60,50,0,50,70,100,15,50,0,30,70,50,3,1,1,1,3,2,1,2,0,6,5,6,16,4,7,3,4,4,6,2,2,3,2,3,4,1,2,4,6,1,3,1,1,.7687,1,1,2,8,2,4,1,2,4,3,2,1,2,4,1,1,1,1,4,5,4,3,2,1,2,"ANES2016TimeSeries_20170403",1,1,2,0,10,1,1,1,0,0,0
63,10,5,,1,2,,5,0,0,1,1,3,,1,100,2,2,2,1,12,5,14,2,0,4,2,1,2,1,,26,1,7,4,1,4,1,2,1,2,10,,1,1,1,1,2,12,1,2,2,2,6,2,1,1,3,0,0,,405795,.629,0,.615,.6218,0,.6052,98,0,98,1,0,1,2,1,,,2,1,1,2,,1,1,1,2,3,5,3,3,4,3,3,2,2,3,4,4,4,4,3,13,3,3,70,71,40,70,49,86,5,41,66,56,41,75,84,60,70,30,70,61,69,70,4,72,30,70,85,26,45,49,76,30,51,16,15,54,71,2,1,1,1,3,1,1,2,1,2,5,6,9,2,4,3,4,5,7,1,1,4,2,4,3,1,3,2,6,1,8,2,3,.6218,1,2,3,7,2,5,1,4,2,2,2,0,,8,2,3,1,1,4,3,3,3,2,1,3,"ANES2016TimeSeries_20170403",7,2,3,1,10,1,2,0,1,0,0
69,11,5,,2,,,5,0,0,1,,2,,,,,,,,,3,8,,0,,,,1,,,1,,2,2,1,6,2,2,1,,6,,2,2,2,3,1,10,2,1,1,1,2,1,1,1,2,,,,300460,.3376,.3626,0,0,0,0,119,19,0,1,1,0,1,0,1,1,,1,,,,1,,,3,1,4,2,3,3,2,3,2,2,2,3,,3,1,,,2,2,,100,-6,,-6,-6,-6,-6,85,-6,-6,-6,,100,,,-6,,-6,-6,,100,,-6,-6,40,-6,-6,-6,-6,-6,,15,-6,,,1,1,1,2,,1,2,0,7,6,7,16,4,5,1,1,1,1,2,,3,2,1,,1,3,1,5,1,,,,0,0,1,2,3,3,,,1,1,1,1,0,,,,3,1,2,2,6,2,,2,,,"ANES2016TimeSeries_20170403",7,2,,,2,,,,,,1
51,8,4,,0,3,,2,0,0,1,3,3,,1,100,2,1,2,0,16,4,14,2,1,6,2,1,2,1,,15,1,2,2,0,12,4,2,1,3,10,,1,1,1,1,0,4,2,2,1,2,6,1,2,1,3,0,0,,402542,.4561,0,.4449,.4548,0,.4376,71,0,71,2,0,2,2,1,,,4,1,1,2,,1,1,1,,2,,3,3,3,2,2,1,2,3,2,2,,4,3,12,,3,80,71,78,69,50,65,67,64,98,79,44,75,81,71,64,50,75,70,86,63,4,85,31,74,80,2,64,59,78,40,77,0,0,72,66,3,1,1,1,3,1,1,2,1,4,5,6,14,3,7,2,2,3,4,1,1,3,2,,2,1,2,2,6,4,7,1,2,.4548,0,1,1,7,3,2,0,2,2,2,2,0,,6,2,3,1,1,3,3,,3,2,2,2,"ANES2016TimeSeries_20170403",2,1,1,-3,6,2,2,1,0,0,0
36,5,2,,1,2,,2,0,0,1,,3,,1,100,1,2,1,0,17,2,13,2,0,4,2,2,0,3,3,18,1,5,4,0,6,2,2,1,0,7,,,3,5,0,0,10,1,1,1,1,2,1,1,2,2,,0,,301515,.2527,.2714,0,.2761,.2838,0,114,14,0,2,2,0,1,1,1,1,2,1,1,2,,1,1,1,4,2,,2,3,2,1,3,2,2,3,4,,4,3,3,13,,3,85,70,50,85,40,70,40,40,60,50,40,60,70,60,85,60,50,15,60,50,3,85,40,70,50,30,50,50,50,70,50,15,15,50,85,4,1,1,1,1,2,1,3,0,4,6,7,15,3,7,2,3,3,5,1,1,4,2,4,3,1,2,3,6,4,5,1,1,.2761,0,1,1,5,2,2,0,1,2,1,1,0,,7,2,3,1,1,4,6,4,2,,2,2,"ANES2016TimeSeries_20170403",1,1,2,0,5,1,2,1,0,0,1
35,5,2,,1,2,,4,1,1,4,0,4,,1,100,2,2,2,0,24,3,12,0,0,3,3,2,0,1,,25,1,3,3,1,4,1,2,1,1,10,,1,1,1,1,0,12,1,1,2,1,2,1,1,1,2,0,0,,402525,.7397,0,.7231,.7226,0,.6925,63,0,63,1,0,1,2,1,,,1,1,1,2,,1,1,1,4,2,2,2,4,3,2,3,2,3,3,4,5,5,2,3,16,3,2,100,40,45,100,10,45,20,15,41,50,0,85,40,60,100,100,80,53,75,55,4,70,0,40,100,8,50,50,100,0,85,0,0,90,100,5,1,1,1,1,1,1,4,0,7,6,7,18,4,7,3,4,5,6,1,1,4,2,3,2,1,2,2,7,1,0,1,1,.7226,1,1,2,7,2,4,1,3,2,1,2,0,,0,1,2,1,1,4,6,7,3,2,1,1,"ANES2016TimeSeries_20170403",2,1,2,0,9,1,1,1,0,0,1
36,5,2,,1,3,,4,0,0,1,0,4,1,1,100,1,1,1,1,22,3,15,2,0,6,1,1,0,1,,24,1,4,1,1,2,1,1,1,1,8,1,1,1,1,3,2,14,1,1,1,1,0,1,1,1,1,0,0,,300940,.6347,.682,0,.6315,.7005,0,117,17,0,2,2,0,1,1,1,1,4,1,1,1,1,1,1,1,4,1,3,2,3,3,2,3,2,3,3,4,5,3,4,3,12,2,3,100,85,85,100,85,100,15,70,40,100,30,100,85,85,100,100,100,70,85,100,5,100,0,85,100,30,100,100,100,30,100,0,0,70,100,5,1,1,1,1,1,1,2,0,7,6,7,18,4,7,3,4,4,6,1,1,4,2,4,0,1,2,2,7,1,2,1,1,.6315,1,2,3,6,3,4,1,1,1,1,1,1,1,3,1,3,1,1,4,8,7,3,2,2,2,"ANES2016TimeSeries_20170403",1,1,2,0,10,2,2,0,1,0,1
61,10,5,,1,,,5,0,0,1,,3,2,1,100,,,,,,5,8,,0,,,,0,1,,,,6,4,0,8,3,6,1,,11,1,1,1,1,2,2,8,1,1,1,1,3,2,1,2,2,0,0,,403018,.7952,0,.7765,0,0,0,9,0,9,2,0,2,2,0,,,,1,,1,1,1,1,1,2,1,2,3,3,4,3,3,2,2,3,4,,6,1,,,2,3,,85,-6,,-6,-6,-6,-6,70,-6,-6,-6,,70,,,-6,60,-6,-6,,85,50,-6,-6,15,-6,-6,-6,-6,-6,,0,-6,,,1,1,1,1,,1,2,0,1,6,7,9,2,4,,,,,1,,5,2,4,,1,2,2,7,6,,,,0,0,1,2,8,4,,,2,1,4,2,1,2,,,2,1,2,3,5,7,,2,,,"ANES2016TimeSeries_20170403",2,1,,,6,,,,,,1
35,5,2,,1,2,,5,0,0,1,2,2,2,,,2,1,2,0,18,0,12,6,0,6,1,1,2,,,25,1,2,4,1,8,3,2,1,1,2,1,1,1,1,0,1,8,2,1,2,2,8,2,1,3,3,,,,402456,.7397,0,.7231,.7226,0,.6925,28,0,28,2,0,2,2,1,,,4,1,0,,1,1,,,3,1,4,1,4,1,1,1,1,2,2,2,4,6,2,3,12,2,2,85,60,70,70,60,85,30,40,70,60,50,85,60,50,85,60,85,60,70,85,5,85,60,100,70,60,70,50,100,40,70,40,30,70,60,4,1,1,1,3,1,1,2,0,1,6,7,12,3,7,3,4,5,6,3,2,3,2,6,2,1,3,3,5,1,7,1,2,.7226,1,2,3,1,2,5,1,1,1,2,2,1,2,7,2,2,1,1,4,2,5,2,2,4,4,"ANES2016TimeSeries_20170403",6,2,1,-10,6,3,4,0,1,0,0
