Age,Age13,Age6,Asian_link,Bible,Big_govt_scale,Black_link,Campaign_info_sources,Caucus_Dem_state,Caucus_Rep_state,Caucus_primary_state_type,Child_authority,Climate_scale,Clinton_Sanders,Clinton_vote,Clinton_vote_100,Community_issue,Community_volunteer,Community_work,Contact_party,Discrim_scale,Econ_pessimism,Education,F_scale,Female,Female_role,Free_trade,GOTV,Gay_laws_scale,HR_vote_party,Hispanic_link,Income,Kids,ME_Isis,ME_refugees,Married,Misogyny,Misogyny4,ObamaCare,Obama_2012,Org_num,Pol_interest_scale,Primary_party,Race2,Race3,Race_all,Relig_attend,Relig_imp,Sexism_trad,Spend_Child,Spend_Crime,Spend_Enviro,Spend_Poor,Spend_Scale,Spend_Schools,Spend_SciTech,Spend_SocSec,Spend_Welfare,Ticket_splitter,Trump_vote_100,Trump_OtherRep,case_id,V160101,V160101f,V160101w,V160102,V160102f,V160102w,V160201,V160201f,V160201w,V160202,V160202f,V160202w,interview_mode,V160502,V161001,V161002,Female_bond,Voted_2012,Voted_2016,Voter_type,Voter_type_primary_caucus,Who_2012,Who_2016,Who_2016_full,abortion,affirm_act3,assist_blacks,better_worse_future_R,better_worse_future_econ,better_worse_past_R,better_worse_past_R_2,better_worse_past_econ,better_worse_past_econ_2,climate_1,climate_2,cong_approve,cong_incumb_approve,defense_spend,educ4,egalit_3,egalitarianism,envir_jobs,fracking,ft_Asians,ft_BClinton,ft_BLM,ft_Blacks,ft_Business,ft_Christians,ft_Congress,ft_Conservatives,ft_Dem,ft_Feminists,ft_Fund,ft_Gays,ft_HClinton_post,ft_HClinton_pre,ft_Hispanics,ft_Illegals,ft_Jews,ft_Kane,ft_Liberals,ft_Muslims,ft_Muslims_5,ft_Obama,ft_Pence,ft_Police,ft_Poor,ft_Rep,ft_Rich,ft_SCOTUS,ft_Scientists,ft_Tea,ft_Trans,ft_Trump_post,ft_Trump_pre,ft_Unions,ft_Whites,ft_Illegals_5,gay_adopt,gay_job_discrim,gay_marriage,gay_wed_serve,grass,gun_control2,gun_imp,gun_own,immig_birthright,immig_chldrn,immig_chldrn_rec,immig_scale,immig_scale_4,immig_wall,income3,income4,income5,income7,income_gap,income_gap_action,intl_force,isolationism,jobs_stndLiving,libcon10,libcon3,libcon7,libcon7_Dem,libcon7_Rep,marital,nativism,nativism2,nativism4,nesw,nesw_rnd,partyid3,partyid7,pol_interest,political_trust,polknow,polknow2,pres_econ,pres_foreign,pres_hlth,pres_job,primary_voter,primary_who,racial_resent_scale,racial_resent_scale_4,region,sex_orient,sex_orient_fmfrnd,social_trust,spend8,spend_serv,torture,trans_bathroom,rid_rotten_apples,need_strong_leader,version,voting_duty,voting_duty2,white_black_4,whites_minus_blacks,wordsum,ft_Police_q3,ft_Police_q4,pid_dum1,pid_dum2,pid_dum3,gay_wed_require
70,12,6,,1,1,,3,0,0,1,3,2,,,,2,2,2,0,22,5,9,2,0,6,1,2,2,,,5,1,4,1,0,5,2,1,1,0,4,,,,6,0,3,11,1,1,1,1,0,1,1,1,1,,,,405925,.6143,0,.6001,.6479,0,.6557,63,0,63,1,0,1,2,1,,,4,1,0,,,1,,,4,3,2,3,3,4,3,3,2,1,3,4,2,4,1,3,14,,3,85,100,85,85,30,85,30,0,100,85,40,50,70,85,85,60,85,50,85,50,3,100,50,30,100,0,30,70,85,30,50,0,0,100,85,4,1,1,1,3,1,2,3,0,7,6,7,18,4,7,1,1,1,2,1,1,2,2,1,0,1,1,4,7,5,6,1,2,.6479,1,2,3,2,2,2,0,1,1,1,1,0,,2,1,3,1,2,3,8,6,3,2,1,3,"ANES2016TimeSeries_20170403",6,2,2,0,9,1,1,0,1,0,0
38,5,2,,2,3,,4,0,0,1,3,2,,,,1,1,1,0,12,3,6,6,0,3,3,2,6.5,,,9,1,7,2,1,8,3,1,,1,7,,1,1,1,3,3,8,1,1,1,1,2,1,1,1,3,,,,302736,.6949,.7462,0,.7705,.8461,0,118,18,0,2,2,0,1,1,1,1,1,0,0,,,,,,1,2,7,2,2,3,2,2,1,2,2,,,3,1,2,11,,2,60,85,50,60,85,100,85,50,,60,70,60,0,15,60,30,85,,85,50,3,50,,85,30,,70,85,85,15,50,85,85,70,60,2,4,2,2.5,2,1,2,4,0,4,6,7,12,3,4,1,1,2,2,2,1,5,1,6,5,1,3,,,1,12,2,4,.7705,1,2,3,5,5,1,0,2,2,4,,0,,10,3,3,1,1,3,7,5,1,1,3,5,"ANES2016TimeSeries_20170403",4,,2,0,3,2,2,0,1,0,1
34,4,2,,1,3,,2,0,0,1,3,2,,0,0,2,2,2,0,18,3,9,5,1,4,3,1,12,,,3,,4,7,0,5,2,6,,0,2,,1,1,1,0,1,11,1,2,2,2,6,1,2,1,3,,100,,402257,.769,0,.7511,.7288,0,.7035,29,0,29,1,0,1,2,1,,,3,0,1,3,,,2,2,2,3,7,2,4,3,2,3,2,2,2,3,2,,1,1,6,,2,41,61,14,31,51,71,51,50,16,41,61,1,2,5,51,41,61,51,51,7,1,2,51,89,51,61,50,51,70,61,0,60,14,63,70,2,4,4,4,4,1,2,2,1,6,3,3,8,2,2,1,1,1,1,3,2,3,2,3,7,1,3,4,5,4,11,2,4,.7288,1,2,5,1,3,3,0,3,4,4,4,0,,15,4,2,1,2,1,3,2,1,1,4,3,"ANES2016TimeSeries_20170403",5,2,4,39,10,3,3,0,1,0,0
54,8,4,,1,2,,3,0,0,1,2,4,1,1,100,1,1,1,1,16,3,13,0,1,5,2,1,2,1,,20,1,6,4,1,2,1,4,1,2,6,1,1,1,1,4,3,14,2,1,1,2,4,1,1,2,2,0,0,,403297,1.3459,0,1.3151,1.3272,0,1.2986,49,0,49,1,0,1,2,1,,,3,1,1,1,1,1,1,1,4,3,5,3,2,2,1,3,2,3,3,4,4,4,3,3,14,1,3,50,85,60,50,15,100,50,30,70,70,40,50,100,85,50,0,100,100,50,50,3,70,30,85,50,15,50,85,100,15,50,15,0,85,50,1,1,1,1,3,2,1,2,1,6,5,6,15,3,6,2,3,4,5,1,2,4,2,4,3,1,3,2,7,1,7,1,2,1.3272,1,1,1,4,3,5,1,2,1,3,2,1,1,6,2,1,1,2,4,4,7,2,2,1,1,"ANES2016TimeSeries_20170403",2,1,2,0,6,2,2,1,0,0,0
37,5,2,,1,3,,4,0,0,1,2,2,,,,1,1,1,0,13,,11,6,1,3,2,2,,,,20,1,6,6,0,8,3,1,,2,8,,,,3,1,3,8,1,1,2,1,3,1,2,1,2,,,,301000,1.0214,1.0863,0,1.0738,1.0299,0,133,33,0,2,2,0,1,1,1,2,1,0,0,,,,,,3,1,3,,4,4,3,3,2,2,2,1,,4,2,2,11,1,2,100,100,100,100,60,85,70,50,70,50,50,85,50,50,100,50,50,,50,50,3,100,,100,85,85,50,100,85,50,50,50,50,85,100,3,,1,1,1,3,1,1,,5,4,5,11,2,4,2,3,4,5,1,1,4,2,2,5,1,3,2,6,6,7,1,2,1.0738,1,2,3,5,3,1,0,2,1,2,1,0,,8,2,4,1,2,3,5,3,2,2,4,4,"ANES2016TimeSeries_20170403",7,2,2,0,7,3,4,0,1,0,1
42,6,3,,1,2,,5,0,0,1,2,4,,0,0,2,2,2,0,12,2,10,4,1,6,3,1,3.5,1,,15,0,7,7,0,5,2,1,1,2,8,2,,,6,0,0,11,2,2,1,2,5,1,2,1,2,1,100,1,300360,.4354,.4633,0,.4269,.4474,0,127,27,0,2,2,0,1,1,1,2,4,1,1,4,3,1,2,2,4,3,7,2,3,2,1,2,1,3,3,4,2,2,2,2,10,4,,50,85,0,50,15,70,15,40,70,60,70,50,70,40,50,15,70,0,70,0,1,100,70,15,70,15,70,70,85,0,50,70,60,60,50,1,1,2,2.5,2,1,1,4,0,4,1,1,9,2,7,2,2,3,4,1,1,4,1,6,5,1,3,2,7,6,12,2,4,.4269,0,1,2,5,2,2,0,1,2,1,1,1,4,16,4,4,1,1,3,3,6,3,1,2,4,"ANES2016TimeSeries_20170403",1,1,2,0,5,1,1,1,0,0,1
43,6,3,,0,3,,4,0,0,1,0,3,1,1,100,1,1,1,0,18,2,10,3,1,6,1,1,1,1,,21,0,6,1,1,4,1,2,1,3,10,1,1,1,1,0,0,12,2,2,1,1,2,1,1,1,1,0,0,,407317,.9534,0,.9318,.9539,0,.9248,59,0,59,1,0,1,2,1,,,4,1,1,1,1,1,1,1,4,1,2,2,2,2,1,2,1,2,3,4,1,2,2,3,12,1,3,80,75,73,90,46,35,11,15,77,91,14,96,93,85,73,78,88,84,88,74,4,93,7,56,98,4,25,73,89,10,90,4,4,75,68,5,1,1,1,2,1,1,1,1,7,6,7,18,4,7,2,3,4,5,1,1,4,2,3,2,1,2,2,7,1,2,1,1,.9539,1,1,1,7,3,4,1,1,1,1,1,1,1,4,1,3,2,1,4,6,6,3,2,3,2,"ANES2016TimeSeries_20170403",1,1,1,-22,8,1,1,1,0,0,1
69,11,5,,1,2,,2,0,0,1,0,3,1,1,100,2,1,2,1,18,5,13,1,0,4,2,2,0,1,,12,1,7,2,1,9,3,1,1,1,9,1,1,1,1,0,0,7,1,1,1,2,2,1,1,1,2,0,0,,300344,.8209,.8823,0,.8115,.8763,0,119,19,0,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,4,2,3,3,2,4,3,2,1,2,3,4,,4,3,2,11,2,2,60,85,60,60,30,50,30,40,70,60,15,50,60,70,60,40,50,70,70,50,3,85,30,70,60,15,40,40,85,15,50,15,15,60,60,2,1,1,1,1,1,2,3,1,4,6,7,15,3,7,1,2,2,3,1,1,4,2,4,3,1,2,3,6,1,5,1,1,.8115,1,1,1,6,3,4,1,1,2,1,1,1,1,2,1,3,,2,4,6,4,3,2,2,1,"ANES2016TimeSeries_20170403",6,2,2,0,,1,2,1,0,0,1
65,11,5,,0,2,,4,1,1,4,1,3,2,,,2,2,2,1,11,5,,2,0,1,1,1,0,1,,23,1,1,4,1,12,4,1,1,1,9,1,1,1,1,0,0,4,1,1,1,1,1,2,1,1,1,,,,402859,.8397,0,.8131,.8461,0,.8315,30,0,30,1,0,1,2,1,,,1,1,1,,2,1,,3,3,1,2,3,4,4,3,4,3,2,3,4,1,7,,3,15,1,3,100,70,85,100,30,70,30,70,60,70,60,70,0,1,100,70,70,2,60,60,4,60,1,85,70,30,70,60,70,50,85,2,0,100,100,4,1,1,1,1,1,1,1,0,7,6,7,18,4,7,3,4,4,6,1,3,1,2,2,5,1,3,2,6,1,7,1,2,.8461,1,1,1,6,3,5,1,4,1,1,4,1,2,7,2,4,1,2,2,7,6,1,2,1,3,"ANES2016TimeSeries_20170403",1,1,2,0,1,2,2,1,0,0,1
65,11,5,,2,1,,2,0,0,1,3,4,,,,2,2,2,1,18,4,9,6,1,5,1,1,4,,,1,1,4,1,0,8,3,4,,0,7,,,,,3,3,8,1,1,1,1,1,1,2,1,1,,,,404030,1.3896,0,1.357,1.3811,0,1.3649,15,0,15,2,0,2,2,1,,,1,0,0,,,,,,3,1,5,3,1,3,2,1,1,3,3,1,4,4,1,2,9,7,3,60,100,50,85,15,100,15,0,99,30,100,0,60,70,70,60,70,73,100,0,1,100,85,30,30,49,85,15,100,15,0,0,15,70,100,4,1,4,1,2,2,1,1,0,7,6,7,12,3,1,1,1,1,1,2,2,3,2,6,9,1,2,2,6,6,5,1,1,1.3811,1,2,3,5,4,2,0,1,1,2,1,0,,16,4,1,1,1,4,7,5,3,1,5,3,"ANES2016TimeSeries_20170403",2,1,3,15,3,1,1,0,1,0,1
74,12,6,,,3,,4,0,0,1,0,4,2,1,100,1,1,1,1,17,3,16,0,0,5,1,2,2,1,,25,1,6,2,1,3,1,2,1,3,12,1,1,1,1,1,3,13,,2,2,2,,2,2,2,,0,0,,301306,.9216,.9905,0,.8944,.9723,0,109,9,0,1,1,0,1,1,1,2,3,1,1,1,1,1,1,1,3,2,3,3,3,2,1,2,1,3,3,4,4,3,4,3,15,1,3,85,50,100,85,30,60,15,40,60,100,15,85,70,70,85,60,70,60,60,60,4,85,15,50,70,0,40,50,85,30,85,0,0,40,70,4,1,1,1,3,1,1,1,1,1,6,7,12,3,7,3,4,5,6,1,1,4,2,5,3,1,2,3,,1,2,1,1,.8944,1,2,3,8,3,5,1,1,1,2,1,1,2,2,1,2,1,2,3,0,3,3,2,1,1,"ANES2016TimeSeries_20170403",2,1,1,-15,10,1,1,0,1,0,0
75,13,6,,1,3,,3,0,0,1,1,3,,,,2,2,2,0,20,4,9,0,0,0,1,2,0,,,7,1,7,1,0,1,1,1,1,0,10,,1,1,1,0,0,15,1,2,1,1,1,1,1,1,1,,,,405985,.6686,0,.6518,.7202,0,.7349,93,0,93,1,0,1,2,1,,,1,1,0,,,1,,,4,1,4,3,2,3,2,3,2,2,3,4,4,4,1,3,15,3,3,85,70,70,85,60,70,30,30,85,70,40,70,85,85,70,30,100,60,70,50,3,70,30,85,100,15,50,70,85,15,30,0,0,60,85,2,1,1,1,1,1,1,1,0,7,6,7,18,4,7,1,1,1,2,2,2,2,2,5,3,1,2,3,7,3,9,2,3,.7202,1,1,1,7,4,4,1,2,2,3,2,0,,1,1,2,1,2,4,7,6,3,2,1,1,"ANES2016TimeSeries_20170403",7,2,2,0,7,2,2,1,0,0,1
59,9,4,,1,2,,4,0,0,1,1,4,1,1,100,2,2,2,0,20,4,10,3,1,6,2,1,0,1,,23,1,4,4,1,3,1,2,1,0,6,1,1,1,1,0,0,13,1,1,1,2,3,1,1,2,2,0,0,,400654,.8126,0,.7868,.8376,0,.8278,27,0,27,2,0,2,2,1,,,4,1,1,1,1,1,1,1,4,2,3,2,3,4,3,2,1,3,3,4,1,4,2,3,13,2,3,80,61,96,80,3,18,14,47,83,78,2,98,95,89,80,70,99,,55,73,4,100,2,69,68,1,33,52,75,3,97,0,2,51,80,4,1,1,1,1,1,1,3,0,4,5,6,14,3,7,3,4,4,6,1,1,3,2,4,4,1,3,3,6,1,6,1,2,.8376,1,1,1,4,2,3,0,1,1,1,1,1,1,5,1,4,1,1,4,5,5,3,2,3,2,"ANES2016TimeSeries_20170403",4,,2,0,10,1,2,1,0,0,1
75,13,6,,0,3,,1,0,0,1,0,3,2,1,100,2,1,2,0,17,4,12,2,,2,1,1,0,1,,11,1,4,2,0,6,2,1,1,0,12,1,1,1,1,0,0,10,2,2,1,1,4,1,1,1,3,0,0,,301992,.3438,.3695,0,.3328,.3578,0,106,6,0,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1,4,2,3,3,4,3,2,3,2,2,3,3,5,5,2,3,12,2,3,100,60,60,100,30,50,40,30,70,85,15,100,70,70,100,30,100,85,85,85,5,85,0,60,100,15,50,70,85,0,85,40,0,60,100,2,1,1,1,1,2,2,3,0,6,6,7,17,4,7,1,2,2,3,1,2,3,2,4,3,1,2,2,7,3,5,1,1,.3328,0,1,1,8,3,4,1,2,2,2,1,1,2,4,1,1,1,1,3,5,5,3,2,1,3,"ANES2016TimeSeries_20170403",1,1,2,0,8,1,1,1,0,0,1
78,13,6,,0,3,,3,0,0,1,0,2,1,1,100,2,2,2,0,13,3,9,6,1,4,1,1,0,1,,21,1,6,2,1,12,4,1,1,0,11,1,1,1,1,0,0,4,3,3,2,2,9,2,1,2,2,0,0,,406005,1.3207,0,1.2897,1.3471,0,1.3371,3,0,3,1,0,1,2,1,,,2,1,1,1,1,1,1,1,3,2,4,2,2,3,2,3,2,2,2,4,2,2,1,3,13,3,3,62,85,62,63,42,63,18,42,70,87,43,72,86,70,62,62,72,70,87,62,4,85,15,62,62,0,62,62,72,3,52,2,30,62,62,4,1,1,1,1,2,1,1,1,2,6,7,13,3,7,2,3,4,5,1,1,4,2,4,4,1,3,4,7,1,6,1,2,1.3471,1,1,1,7,2,4,1,1,1,1,1,1,1,5,1,1,1,2,4,1,4,3,2,4,4,"ANES2016TimeSeries_20170403",5,2,1,-1,6,1,2,1,0,0,1
58,9,4,,1,2,,1,0,0,1,2,2,,,,1,1,1,0,21,4,10,6,1,1,2,1,0,1,,3,1,7,1,0,11,4,7,1,0,9,,,,6,1,2,5,1,1,1,2,3,1,2,1,2,,,,302393,.4732,.5036,0,.4624,.5062,0,131,31,0,1,1,0,1,1,1,2,2,1,1,,,1,,,2,1,1,3,5,3,2,2,1,1,3,,2,7,2,3,12,2,3,85,50,85,85,60,100,50,50,85,50,70,70,40,30,85,50,70,,60,85,5,0,,85,85,15,50,50,60,70,70,40,15,70,60,3,1,1,1,1,3,1,1,0,7,6,7,15,3,4,1,1,1,1,1,1,3,2,2,5,1,2,5,7,4,4,1,1,.4624,0,2,3,6,3,1,0,4,4,4,4,0,,7,2,4,1,1,4,5,4,3,2,4,4,"ANES2016TimeSeries_20170403",7,2,1,-25,6,2,2,0,1,0,1
33,4,2,,0,2,,2,0,0,1,1,4,2,1,100,2,2,2,1,15,1,14,0,1,,2,2,,1,,25,0,6,1,1,2,1,1,1,1,6,1,1,1,1,0,0,14,1,2,2,1,3,1,1,1,2,0,0,,302219,.8663,.9306,0,.8294,.8586,0,106,6,0,2,2,0,1,1,1,2,2,1,1,1,1,1,1,1,4,1,1,2,3,1,1,2,1,3,3,4,2,3,4,3,16,1,2,50,60,50,50,40,50,15,50,40,50,15,50,70,30,50,50,50,50,50,50,3,40,0,50,50,15,50,50,50,15,50,0,0,50,50,3,1,1,1,,1,1,1,0,4,6,7,15,3,7,3,4,5,6,3,1,3,2,1,2,1,2,4,7,1,4,1,1,.8294,1,1,1,4,2,3,0,2,2,1,,1,2,4,1,1,1,1,4,5,6,3,2,1,1,"ANES2016TimeSeries_20170403",6,2,2,0,8,1,1,1,0,0,
68,11,5,,2,,,1,0,0,1,,4,1,,,,,,,,3,4,,0,,,,9,,,6,,4,2,1,14,4,2,1,,4,1,,3,5,5,3,2,2,2,2,2,8,2,2,2,2,,,,300212,.3265,.35,0,0,0,0,127,27,0,1,1,0,1,0,1,1,,1,,,1,1,,,1,1,1,3,2,2,1,2,1,3,3,,,4,1,,,1,2,,50,-6,,-6,-6,-6,-6,70,-6,-6,-6,,70,,,-6,,-6,-6,,70,,-6,-6,50,-6,-6,-6,-6,-6,,40,-6,,,4,2,4,3,,1,2,0,4,6,7,15,3,7,1,1,1,2,2,,2,1,4,,1,3,6,7,1,,,,0,0,1,1,3,2,,,2,1,2,1,1,1,,,4,1,2,2,0,1,,1,,,"ANES2016TimeSeries_20170403",1,1,,,8,,,,,,0
57,9,4,,1,2,3,5,0,0,1,0,4,1,1,100,1,1,1,1,16,1,12,2,0,1,1,1,1,2,3,22,1,4,5,1,4,1,1,1,2,10,1,,3,5,2,1,12,2,2,1,1,3,1,1,1,2,1,0,,403897,.9704,0,.9479,.9778,0,.9056,49,0,49,1,0,1,2,1,,,2,1,1,1,1,1,1,1,4,1,3,1,2,2,1,2,1,3,3,4,2,5,2,2,10,2,2,85,99,43,86,16,100,53,36,100,60,36,51,86,98,95,36,84,85,81,33,2,97,5,100,85,16,17,29,83,18,47,15,5,83,93,2,1,1,1,2,1,2,2,1,7,6,7,15,3,4,3,3,4,5,1,3,2,2,3,3,1,2,2,7,1,4,1,1,.9778,1,1,1,7,2,5,1,1,2,1,1,1,1,11,3,3,1,1,4,5,5,3,2,2,2,"ANES2016TimeSeries_20170403",1,1,3,7,6,3,4,1,0,0,1
19,1,1,,1,2,,1,0,0,1,4,2,,,,2,2,2,0,19,4,7,4,1,6,2,2,3,,,4,0,4,4,0,8,3,4,,0,6,,1,1,1,0,0,8,2,2,2,2,8,2,2,2,2,,,,405581,2.3359,0,2.2765,2.4926,0,2.4885,91,0,91,1,0,1,2,1,,,4,0,0,,,,,,3,2,,3,3,3,2,3,2,2,2,2,2,,1,1,8,,2,50,50,50,50,50,52,50,51,50,50,52,50,50,50,50,50,50,50,53,49,2,50,50,53,51,50,50,52,51,51,51,50,50,50,50,3,1,2,1,3,2,2,3,0,4,5,6,11,2,4,1,1,1,1,3,2,3,2,,5,1,2,4,4,6,6,1,2,2.4926,2,2,4,5,3,0,0,2,2,2,2,0,,8,2,1,3,2,3,0,,2,2,3,3,"ANES2016TimeSeries_20170403",4,,2,0,5,1,1,0,1,0,0
,,,,1,3,,4,0,0,1,0,4,,1,100,2,1,2,0,23,3,16,1,1,6,1,1,0,1,,,1,6,2,1,1,1,1,1,2,6,,1,1,1,1,0,15,1,2,1,2,4,1,2,1,2,0,0,,401874,.6871,0,.6649,.7821,0,.7907,37,0,37,2,0,2,2,1,,,4,1,1,2,,1,1,1,4,2,5,3,2,2,1,2,1,3,3,4,2,4,4,3,15,2,3,70,60,70,70,40,50,40,30,56,85,15,70,85,72,70,50,70,51,60,50,3,95,16,50,50,17,50,50,85,15,60,0,3,40,60,3,1,1,1,1,2,1,1,0,7,6,7,18,4,7,,,,,1,1,5,2,3,5,1,3,2,7,1,6,1,2,.7821,1,1,2,4,2,5,1,1,1,2,1,0,,4,1,4,1,1,3,4,3,3,2,2,1,"ANES2016TimeSeries_20170403",3,1,1,-10,10,1,1,1,0,0,1
34,4,2,,0,3,,2,0,0,1,0,4,2,1,100,1,1,1,0,20,4,14,1,1,6,3,2,1,1,,12,0,5,2,0,0,1,2,1,3,4,1,1,1,1,0,0,16,1,2,2,2,6,1,2,2,2,0,0,,406044,.4276,0,.4181,.3974,0,.3858,22,0,22,2,0,2,2,1,,,4,1,1,1,1,1,1,1,4,2,2,3,4,3,2,3,2,3,3,3,2,2,4,3,16,1,3,51,60,95,51,1,70,17,16,75,96,0,100,70,64,51,85,80,50,85,85,5,70,0,60,50,16,31,55,100,0,99,0,0,71,50,5,1,1,1,2,1,1,3,0,4,6,7,15,3,7,1,2,2,3,1,1,4,1,2,1,1,1,3,7,6,4,1,1,.3974,0,2,3,2,2,3,0,2,3,2,2,1,2,1,1,2,1,1,3,2,5,3,2,2,1,"ANES2016TimeSeries_20170403",1,1,1,-1,10,1,1,0,1,0,1
35,5,2,,0,,,3,0,0,1,,,,,,,,,,,4,13,,0,,,,0,,,22,,4,4,1,5,2,4,,,2,,,,6,0,0,11,,,,,,1,,,,,,,302121,.6562,.705,0,0,0,0,106,6,0,1,1,0,1,0,1,1,,0,,,,,,,4,2,4,3,,3,2,3,2,2,,,,,3,,,,2,,60,-6,,-6,-6,-6,-6,,-6,-6,-6,,30,,,-6,,-6,-6,,60,,-6,-6,,-6,-6,-6,-6,-6,,0,-6,,,1,1,1,1,,1,3,0,4,,,,,7,3,3,4,5,,,3,1,,,1,2,2,7,1,,,,0,0,2,3,1,3,,,,,,2,0,,,,1,1,1,4,1,5,,2,,,"ANES2016TimeSeries_20170403",6,2,,,9,,,,,,1
52,8,4,,0,3,,5,0,0,1,0,4,2,1,100,2,2,2,1,21,4,12,1,0,6,1,1,1,1,,24,1,7,1,1,2,1,6,1,1,12,1,1,1,1,0,0,14,2,2,1,1,2,1,1,1,1,0,0,,403154,.8377,0,.8169,.8217,0,.7924,77,0,77,2,0,2,2,1,,,4,1,1,1,1,1,1,1,4,1,2,3,3,3,2,3,2,3,3,4,5,1,2,3,15,1,3,95,98,50,95,40,75,15,40,61,60,16,84,62,60,95,95,75,55,70,75,4,75,41,69,84,40,70,60,97,30,51,15,0,70,95,5,1,1,1,2,1,1,4,1,7,6,7,18,4,7,3,4,4,6,1,1,5,2,4,4,1,2,1,7,1,6,1,2,.8217,1,1,1,8,2,4,1,2,3,4,2,1,2,3,1,1,1,1,3,6,4,3,2,2,1,"ANES2016TimeSeries_20170403",1,1,2,0,8,1,2,1,0,0,1
56,9,4,,0,3,,1,0,0,1,,4,2,1,100,1,1,1,0,20,2,15,2,0,,2,1,4,,,28,0,7,1,1,4,1,1,1,0,11,1,,,6,0,0,12,,1,1,1,,1,1,1,1,,0,,302122,.7807,.8389,0,.757,.884,0,123,23,0,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,,1,,2,2,2,1,1,1,3,3,2,4,1,4,3,14,1,3,100,60,50,100,50,25,50,30,50,100,0,50,70,60,100,100,50,40,50,50,3,60,30,65,50,50,50,70,100,0,60,40,50,60,100,5,1,2,1,4,1,1,1,1,7,6,7,18,4,7,3,4,5,7,1,1,,2,2,0,1,1,4,7,1,0,1,1,.757,1,2,3,7,1,1,0,1,3,2,2,1,2,4,1,3,1,1,3,7,7,3,2,3,1,"ANES2016TimeSeries_20170403",6,2,2,0,,1,2,0,1,0,0
66,11,5,,1,,,4,0,0,1,,3,,,,,,,,,4,9,,0,,,,9,,,8,,7,7,0,8,3,7,0,,,2,1,1,1,0,0,8,2,2,2,1,7,2,2,1,3,,,1,403712,.7915,0,.7731,0,0,0,56,0,56,2,0,2,2,0,,,,1,,,3,,,,2,2,,3,3,3,2,4,3,3,2,4,,,1,,,,2,,0,-7,,-7,-7,-7,-7,0,-7,-7,-7,,0,,,-7,50,-7,-7,,0,60,-7,-7,85,-7,-7,-7,-7,-7,,85,-7,,,1,4,4,4,,2,2,1,7,1,1,9,2,4,1,1,2,2,1,,3,1,,,1,3,4,4,4,,,,0,0,3,6,1,1,,,4,4,4,4,1,4,,,1,1,2,3,2,,,2,,,"ANES2016TimeSeries_20170403",7,2,,,8,,,,,,0
27,3,1,,0,3,,3,0,0,1,0,4,,1,100,1,1,1,0,22,2,13,1,1,6,1,2,0,,,12,0,6,3,0,1,1,1,1,2,10,,1,1,1,0,0,15,1,1,1,1,3,1,2,1,3,,0,,403041,.457,0,.4457,.4478,0,.4377,21,0,21,1,0,1,2,1,,,4,1,1,2,,1,1,1,4,1,1,2,2,2,1,2,1,3,3,1,5,2,3,3,14,1,3,82,84,95,83,10,50,75,10,93,75,10,75,85,92,81,45,95,92,85,50,3,97,27,50,85,27,50,50,90,0,75,0,0,50,70,2,1,1,1,1,1,1,2,0,7,6,7,18,4,7,1,2,2,3,2,1,3,1,1,0,1,2,3,7,4,1,1,1,.4478,0,1,1,7,2,5,1,1,1,1,1,0,,3,1,1,1,1,3,6,7,3,2,1,2,"ANES2016TimeSeries_20170403",7,2,1,-13,7,1,1,1,0,0,1
40,6,3,,1,,,4,0,0,1,,3,,,,,,,,,4,10,,1,,,,1,,,22,,4,4,1,6,2,4,,,0,,1,1,1,1,1,10,1,1,2,1,2,1,1,1,2,,,,300504,.2334,.2509,0,0,0,0,109,9,0,1,1,0,1,0,1,2,,0,,,,,,,4,1,5,3,4,3,2,4,3,2,3,,,4,2,,,,2,,50,-6,,-6,-6,-6,-6,50,-6,-6,-6,,60,,,-6,,-6,-6,,70,,-6,-6,50,-6,-6,-6,-6,-6,,30,-6,,,1,1,1,2,,1,1,0,4,5,6,11,2,4,3,3,4,5,2,,3,2,3,,1,3,7,6,1,,,,0,0,2,4,0,4,,,3,3,3,2,0,,,,2,1,1,1,6,5,,2,,,"ANES2016TimeSeries_20170403",5,2,,,7,,,,,,1
58,9,4,,0,3,,3,0,1,3,3,4,,1,100,1,2,1,0,,1,13,6,0,1,2,2,1,1,,25,0,4,4,0,4,1,4,,2,5,,1,1,1,1,0,12,1,1,1,1,2,1,1,1,3,0,0,,300297,.8623,.9263,0,.9627,.9682,0,115,15,0,2,2,0,1,1,1,1,2,0,1,2,,,1,1,4,1,4,2,3,1,1,3,2,3,3,1,1,4,3,3,12,3,2,100,70,100,100,60,70,60,60,60,70,60,85,60,50,100,85,60,70,70,60,4,85,60,70,100,50,40,85,100,50,70,30,15,70,100,5,1,1,1,2,1,1,1,0,4,6,7,12,3,4,3,4,5,6,1,1,3,2,4,4,1,3,3,6,4,9,2,3,.9627,1,1,1,3,3,4,1,1,2,2,1,0,,9,2,3,1,1,4,7,4,2,2,5,3,"ANES2016TimeSeries_20170403",7,2,2,0,5,1,2,1,0,0,1
